position_id,game_id,ply_index,fullmove_number,side_to_move,player_elo,white,black,complexity_score,image_path,candidate_count,actual_move_uci,actual_move_san,actual_candidate_available,actual_realizability_score_v0,actual_maia_probability,actual_maia_rank,engine_best_uci,engine_best_san,engine_best_realizability_score_v0,engine_best_maia_probability,engine_best_maia_rank,top_realizability_uci,top_realizability_san,top_realizability_score_v0,actual_minus_engine_best_realizability,actual_matches_engine_best,actual_matches_top_realizability,actual_beats_engine_best
03jEUl79_ply_18,03jEUl79,18,10,white,1988,rrsa,Francictus,19,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/03jEUl79_ply_18.png,4,g5f4,Bf4,True,33.0,0.0013,23,d4f5,Nf5,61.16,0.205,2,d4f5,Nf5,61.16,-28.16,False,False,False
03jEUl79_ply_19,03jEUl79,19,10,black,2067,rrsa,Francictus,42,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/03jEUl79_ply_19.png,4,d7c5,Nc5,True,33.0,0.0581,6,d6d5,d5,33.0,0.0016,14,d7c5,Nc5,33.0,0.0,False,True,False
03jEUl79_ply_20,03jEUl79,20,11,white,1988,rrsa,Francictus,20,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/03jEUl79_ply_20.png,4,b2b4,b4,True,56.46,0.1851,2,a2a4,a4,33.0,0.0629,4,b2b4,b4,56.46,23.46,False,True,True
