position_id,game_id,ply_index,fullmove_number,side_to_move,white,black,white_elo,black_elo,complexity_score,image_path,actual_move_uci,actual_move_san,fen
w4EUR2k3_ply_49,w4EUR2k3,49,25,black,Krokodilok,you3aa,1674,1636,18,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/w4EUR2k3_ply_49.png,g4e5,Ne5,r5k1/ppq1r1p1/2pn1p1p/7N/6nQ/6P1/PPP5/2KR1B1R b - - 5 25
w4EUR2k3_ply_52,w4EUR2k3,52,27,white,Krokodilok,you3aa,1674,1636,18,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/w4EUR2k3_ply_52.png,h5f6,Nxf6,r4k2/ppq1r1p1/2pn1p1p/4n2N/7Q/6P1/PPP1B3/2KR3R w - - 8 27
xvIm2G9T_ply_25,xvIm2G9T,25,13,black,mapleunix,jerradinho,2077,2041,18,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/xvIm2G9T_ply_25.png,f7f6,f6,r1b1k2r/pp1n1ppp/4q3/2b1B3/5P2/1PP5/P2NQ1PP/R3KB1R b KQkq - 4 13
xvIm2G9T_ply_33,xvIm2G9T,33,17,black,mapleunix,jerradinho,2077,2041,18,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/xvIm2G9T_ply_33.png,d7b6,Nb6,r1b2rk1/pp1n2pp/5p2/8/3P1P2/1P6/P2NB1PP/R4RK1 b - - 0 17
yMmTCp4q_ply_19,yMmTCp4q,19,10,black,HeleneLouise,fantastic_mask,1102,860,18,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/yMmTCp4q_ply_19.png,e7e5,Qxe5,r1b1k2r/ppppqppp/8/2bpPN2/8/2P1B3/PP3PPP/RN1QK2R b KQkq - 4 10
yMmTCp4q_ply_30,yMmTCp4q,30,16,white,HeleneLouise,fantastic_mask,1102,860,18,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/yMmTCp4q_ply_30.png,b1c3,Nc3,r4rk1/ppp2ppp/3p1q2/3p4/3P2Q1/4B3/PP3PPP/RN3RK1 w - - 3 16
yMmTCp4q_ply_44,yMmTCp4q,44,23,white,HeleneLouise,fantastic_mask,1102,860,18,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/yMmTCp4q_ply_44.png,d1d4,Rxd4,r5k1/pp3ppp/3p4/7q/3p1B2/6P1/PP3P1P/3R1RK1 w - - 4 23
z31P1uww_ply_26,z31P1uww,26,14,white,meet4chess,SRKRATOS,1596,1577,18,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/z31P1uww_ply_26.png,e1g1,O-O,r1b1kb1r/p4ppp/4p3/q2pPn2/3B4/P1N5/1P2NPPP/R2QK2R w KQkq - 3 14
03jEUl79_ply_40,03jEUl79,40,21,white,rrsa,Francictus,1988,2067,17,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/03jEUl79_ply_40.png,f3f4,f4,r3r1k1/1ppn1ppp/p2p4/6q1/1PQ1P3/1PN2P2/P1n3PP/R4R1K w - - 9 21
119kM9Xj_ply_20,119kM9Xj,20,11,white,themoreudontknow,pvalen,1288,1173,17,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/119kM9Xj_ply_20.png,c1b1,Kb1,1k1r1r2/pppqb1pp/2np1n2/4p3/2B1P1b1/3PBN2/PPPNQPPP/2KR3R w - - 3 11
119kM9Xj_ply_32,119kM9Xj,32,17,white,themoreudontknow,pvalen,1288,1173,17,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/119kM9Xj_ply_32.png,c4e5,Ncxe5,1k1r1r2/pppq2p1/2n2b1p/4p3/2NpP1b1/PB1P1N2/1PP1QPPP/1K1R3R w - - 0 17
1GmB6Cbp_ply_45,1GmB6Cbp,45,23,black,m97m01,eynm2,1552,1519,17,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/1GmB6Cbp_ply_45.png,a7a6,a6,r1n2k2/p4ppp/1pNrb1q1/1B1p4/2P1pQ2/P7/1BP2PPP/3RR1K1 b - - 0 23
1maOz6rR_ply_44,1maOz6rR,44,23,white,Zagrapa,Babar97,2287,2292,17,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/1maOz6rR_ply_44.png,f3e4,fxe4,5rk1/p1r1p1bp/1p6/1B5p/Q1PPp3/2Pb1P2/P4R1P/R5K1 w - - 0 23
26gJfeNj_ply_29,26gJfeNj,29,15,black,DoncaBrown,levoncho1999,1490,1434,17,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/26gJfeNj_ply_29.png,c6b8,Nb8,2kr3r/pbpqn1b1/1pnppp2/1P4p1/P1NPP2p/2P2N1P/2B1QPP1/R1B2RK1 b - - 0 15
3aAGFWpD_ply_24,3aAGFWpD,24,13,white,ilgam0385,CounterZwisch,1561,1587,17,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/3aAGFWpD_ply_24.png,f1d1,Rd1,r1bk3r/ppp2ppp/8/1B2n3/3b4/2N5/PP3PPP/R1B2RK1 w - - 0 13
4XFz8QWx_ply_51,4XFz8QWx,51,26,black,raziel_duck,bobbym7ch,1804,1793,17,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/4XFz8QWx_ply_51.png,e8c8,Qxc8,2B1q3/p1n3k1/6p1/2pPp3/1pPb1B2/7P/PP4Q1/R6K b - - 0 26
4XFz8QWx_ply_52,4XFz8QWx,52,27,white,raziel_duck,bobbym7ch,1804,1793,17,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/4XFz8QWx_ply_52.png,f4g5,Bg5,2q5/p1n3k1/6p1/2pPp3/1pPb1B2/7P/PP4Q1/R6K w - - 0 27
78cIwkOb_ply_38,78cIwkOb,38,20,white,ConradShrekChungus,pawngod,1252,1355,17,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/78cIwkOb_ply_38.png,g2g4,g4,rn1qr1k1/pp3ppp/2p5/5b2/2P1NP2/PP1B1Q2/6PP/4RR1K w - - 5 20
7DOMDObe_ply_40,7DOMDObe,40,21,white,Gervasiodomingos,xaver34,1742,1786,17,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/7DOMDObe_ply_40.png,g4e3,Ne3,r4rnk/pp2b2b/2p5/3q1p2/3PN1N1/5PP1/PPPQ3P/R3R1K1 w - - 0 21
7DOMDObe_ply_52,7DOMDObe,52,27,white,Gervasiodomingos,xaver34,1742,1786,17,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/7DOMDObe_ply_52.png,e3f1,Nf1,3rr1nk/pp1q3b/8/2pP1p2/3b1P2/2N1N1P1/PPPQ2KP/3RR3 w - - 4 27
7czlfwXV_ply_23,7czlfwXV,23,12,black,B3nJ,mocychess,1813,1825,17,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/7czlfwXV_ply_23.png,g6c2,Bxc2,r2q1rk1/pp1n1ppp/2pb2b1/3p4/8/1P2P1P1/PBPPQ1BP/RN3RK1 b - - 2 12
