position_id,game_id,ply_index,fullmove_number,side_to_move,white,black,white_elo,black_elo,complexity_score,image_path,actual_move_uci,actual_move_san,budget_count,best_move_path,best_move_switch_count,unique_best_move_count,best_score_min_cp,best_score_max_cp,best_score_mean_cp,best_score_range_cp,adjacent_top3_overlap_min,adjacent_top3_overlap_mean,adjacent_top5_overlap_min,adjacent_top5_overlap_mean,best_pv_prefix_min_plies,best_pv_prefix_mean_plies,actual_move_present_budget_count,actual_move_rank_min,actual_move_rank_max,actual_move_rank_mean,actual_move_rank_range,actual_move_rank_path
KT3Ooz7O_ply_34,KT3Ooz7O,34,18,white,xadrezfino,alwaysmakeaplan,1970,2033,79,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/KT3Ooz7O_ply_34.png,a1d1,Rad1,2,50ms:a4 | 200ms:Red1,1,2,109,126,117.5,17,0.5,0.5,0.6667,0.6667,0,0,0,,,,,50ms:>10 | 200ms:>10
KkAWuXpl_ply_42,KkAWuXpl,42,22,white,Tibilu69,sebxs_JM,1770,1779,77,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/KkAWuXpl_ply_42.png,g4g5,g5,2,50ms:h5 | 200ms:Bg3,1,2,-118,-105,-111.5,13,0.2,0.2,0.6667,0.6667,0,0,2,3,4,3.5,1,50ms:3 | 200ms:4
j83hSepE_ply_50,j83hSepE,50,26,white,blackmeta,SrPinguin,1600,1688,66,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/j83hSepE_ply_50.png,f1e1,Rfe1,2,50ms:Rfe1 | 200ms:Rfe1,0,1,151,163,157,12,0.5,0.5,1.0,1.0,1,1,2,1,1,1,0,50ms:1 | 200ms:1
