position_id,game_id,ply_index,fullmove_number,side_to_move,player_elo,white_elo,black_elo,white,black,fen,image_path,complexity_score,high_complexity,candidate_uci,candidate_san,candidate_role,forced_include_actual,is_actual_move,is_engine_best,actual_move_uci,actual_move_san,root_rank,root_eval_cp,root_value_cp,initial_gain_cp,distance_from_best_cp,viable_threshold_cp,acceptable_width_player_d1,acceptable_width_player_mean,acceptable_width_player_min,acceptable_width_d3,survival_rate_after_opponent,opponent_refutation_density,depth4_survival_rate,unique_burden_plies,longest_narrow_streak,deviation_penalty_cp_mean,deviation_penalty_cp_max,mean_margin_to_viable_cp,conversion_horizon_plies,conversion_success_within_horizon,maia_rank,maia_probability,realizability_score_v0
XihfAk9F_ply_50,XihfAk9F,50,26,white,2025,2025,1888,FDSV,ZucaVictor,6k1/ppq2pp1/7p/n7/2P5/P3PNP1/4KP1P/3Q4 w - - 1 26,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/XihfAk9F_ply_50.png,23,True,d1d4,Qd4,actual_move,True,True,False,d1d4,Qd4,,6,-6,-12,12,80,1.75,2.1667,0,3.0,0.5,0.5,1.0,1,1,30.1667,104,45.0,4,True,2,0.2675,61.9
XihfAk9F_ply_50,XihfAk9F,50,26,white,2025,2025,1888,FDSV,ZucaVictor,6k1/ppq2pp1/7p/n7/2P5/P3PNP1/4KP1P/3Q4 w - - 1 26,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/XihfAk9F_ply_50.png,23,True,f3d2,Nd2,engine_best,False,False,True,d1d4,Qd4,1,6,-13,-19,19,80,0.75,1.1667,0,2.0,0.5,0.5,0.5,2,1,21.8333,96,17.5714,4,True,5,0.0781,45.79
XihfAk9F_ply_50,XihfAk9F,50,26,white,2025,2025,1888,FDSV,ZucaVictor,6k1/ppq2pp1/7p/n7/2P5/P3PNP1/4KP1P/3Q4 w - - 1 26,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/XihfAk9F_ply_50.png,23,True,c4c5,c5,engine_topk,False,False,False,d1d4,Qd4,2,6,-7,-13,13,80,2.0,2.4286,0,3.0,0.75,0.25,1.0,2,2,40.7143,112,39.8824,4,True,9,0.0108,63.43
XihfAk9F_ply_50,XihfAk9F,50,26,white,2025,2025,1888,FDSV,ZucaVictor,6k1/ppq2pp1/7p/n7/2P5/P3PNP1/4KP1P/3Q4 w - - 1 26,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/XihfAk9F_ply_50.png,23,True,d1c2,Qc2,engine_topk,False,False,False,d1d4,Qd4,3,6,-11,-17,17,80,0.0,0.0,0,,0.0,1.0,0.0,0,0,0.0,0,,,False,4,0.0982,33.0
XihfAk9F_ply_51,XihfAk9F,51,26,black,1888,2025,1888,FDSV,ZucaVictor,6k1/ppq2pp1/7p/n7/2PQ4/P3PNP1/4KP1P/8 b - - 2 26,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/XihfAk9F_ply_51.png,15,True,a7a6,a6,actual_move,True,True,False,a7a6,a6,,4,-148,-152,152,80,0.0,0.0,0,,0.0,1.0,0.0,0,0,0.0,0,,,False,6,0.0209,33.0
XihfAk9F_ply_51,XihfAk9F,51,26,black,1888,2025,1888,FDSV,ZucaVictor,6k1/ppq2pp1/7p/n7/2PQ4/P3PNP1/4KP1P/8 b - - 2 26,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/XihfAk9F_ply_51.png,15,True,c7c4,Qxc4+,engine_best,False,False,True,a7a6,a6,1,4,1,-3,3,80,0.0,0.0,0,,0.0,1.0,0.0,0,0,0.0,0,,,False,2,0.252,33.0
XihfAk9F_ply_51,XihfAk9F,51,26,black,1888,2025,1888,FDSV,ZucaVictor,6k1/ppq2pp1/7p/n7/2PQ4/P3PNP1/4KP1P/8 b - - 2 26,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/XihfAk9F_ply_51.png,15,True,a5c4,Nxc4,engine_topk,False,False,False,a7a6,a6,2,4,-31,-35,35,80,0.0,0.0,0,,0.0,1.0,0.0,0,0,0.0,0,,,False,1,0.5747,33.0
XihfAk9F_ply_52,XihfAk9F,52,27,white,2025,2025,1888,FDSV,ZucaVictor,6k1/1pq2pp1/p6p/n7/2PQ4/P3PNP1/4KP1P/8 w - - 0 27,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/XihfAk9F_ply_52.png,17,True,c4c5,c5,actual_move,True,True,False,c4c5,c5,,139,10,-129,129,139,1.0,1.0,0,1.0,0.5,0.75,1.0,3,2,26.8333,52,28.3333,4,True,2,0.4241,43.32
XihfAk9F_ply_52,XihfAk9F,52,27,white,2025,2025,1888,FDSV,ZucaVictor,6k1/1pq2pp1/p6p/n7/2PQ4/P3PNP1/4KP1P/8 w - - 0 27,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/XihfAk9F_ply_52.png,17,True,f3d2,Nd2,engine_best,False,False,True,c4c5,c5,1,139,149,10,-10,146,1.25,1.2857,0,1.3333,0.75,0.0,0.6667,4,2,23.1429,47,16.1111,4,True,1,0.4446,43.71
XihfAk9F_ply_52,XihfAk9F,52,27,white,2025,2025,1888,FDSV,ZucaVictor,6k1/1pq2pp1/p6p/n7/2PQ4/P3PNP1/4KP1P/8 w - - 0 27,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/XihfAk9F_ply_52.png,17,True,f3e5,Ne5,engine_topk,False,False,False,c4c5,c5,2,139,22,-117,117,139,1.0,0.8,0,0.0,0.25,0.75,0.0,0,0,0.0,0,23.25,2,False,3,0.0591,46.43
