position_id,game_id,ply_index,fullmove_number,side_to_move,player_elo,white,black,complexity_score,image_path,candidate_count,actual_move_uci,actual_move_san,actual_candidate_available,actual_realizability_score_v0,actual_maia_probability,actual_maia_rank,engine_best_uci,engine_best_san,engine_best_realizability_score_v0,engine_best_maia_probability,engine_best_maia_rank,top_realizability_uci,top_realizability_san,top_realizability_score_v0,actual_minus_engine_best_realizability,actual_matches_engine_best,actual_matches_top_realizability,actual_beats_engine_best
03jEUl79_ply_33,03jEUl79,33,17,black,2067,rrsa,Francictus,16,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/03jEUl79_ply_33.png,4,e7g5,Qg5,True,44.59,0.3833,1,f4g6,Ng6,40.98,0.2744,2,e7g5,Qg5,44.59,3.61,False,True,True
03jEUl79_ply_34,03jEUl79,34,18,white,1988,rrsa,Francictus,18,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/03jEUl79_ply_34.png,3,g1h1,Kh1,True,33.0,0.0807,5,g1h1,Kh1,33.0,0.0807,5,g1h1,Kh1,33.0,0.0,True,True,False
03jEUl79_ply_36,03jEUl79,36,19,white,1988,rrsa,Francictus,30,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/03jEUl79_ply_36.png,4,d2e2,Qe2,True,33.0,0.0348,9,f3f4,f4,33.0,0.3408,1,d2g5,Qxg5,88.56,0.0,False,False,False
03jEUl79_ply_37,03jEUl79,37,19,black,2067,rrsa,Francictus,22,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/03jEUl79_ply_37.png,4,e6d4,Nd4,True,36.74,0.1174,2,c7c6,c6,59.35,0.092,3,c7c6,c6,59.35,-22.61,False,False,False
03jEUl79_ply_38,03jEUl79,38,20,white,1988,rrsa,Francictus,27,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/03jEUl79_ply_38.png,3,e2c4,Qc4,True,33.0,0.339,2,e2d3,Qd3,33.0,0.4659,1,e2c4,Qc4,33.0,0.0,False,True,False
03jEUl79_ply_39,03jEUl79,39,20,black,2067,rrsa,Francictus,25,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/03jEUl79_ply_39.png,3,d4c2,Nc2,True,54.93,0.1268,3,d4b5,Nb5,35.2,0.0187,7,d4c2,Nc2,54.93,19.73,False,True,True
03jEUl79_ply_40,03jEUl79,40,21,white,1988,rrsa,Francictus,17,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/03jEUl79_ply_40.png,3,f3f4,f4,True,33.0,0.0514,5,c3d5,Nd5,33.0,0.0563,4,f3f4,f4,33.0,0.0,False,True,False
03jEUl79_ply_41,03jEUl79,41,21,black,2067,rrsa,Francictus,20,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/03jEUl79_ply_41.png,3,g5d8,Qd8,True,59.57,0.1956,1,g5d8,Qd8,59.57,0.1956,1,g5e7,Qe7,63.07,0.0,True,False,False
03jEUl79_ply_42,03jEUl79,42,22,white,1988,rrsa,Francictus,10,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/03jEUl79_ply_42.png,3,c3d5,Nd5,True,33.0,0.0659,3,c3b5,Nb5,33.0,0.0,33,c3d5,Nd5,33.0,0.0,False,True,False
03jEUl79_ply_46,03jEUl79,46,24,white,1988,rrsa,Francictus,10,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/03jEUl79_ply_46.png,3,e4d5,exd5,True,33.0,0.9777,1,e4e5,e5,33.0,0.0079,2,e4d5,exd5,33.0,0.0,False,True,False
03jEUl79_ply_47,03jEUl79,47,24,black,2067,rrsa,Francictus,24,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/03jEUl79_ply_47.png,3,a8c8,Rc8,True,33.0,0.3595,2,d7f6,Nf6,33.0,0.4523,1,a8c8,Rc8,33.0,0.0,False,True,False
03jEUl79_ply_48,03jEUl79,48,25,white,1988,rrsa,Francictus,47,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/03jEUl79_ply_48.png,3,c2d3,Qd3,True,33.0,0.3262,1,c2d2,Qd2,33.0,0.1185,4,c2d3,Qd3,33.0,0.0,False,True,False
03jEUl79_ply_49,03jEUl79,49,25,black,2067,rrsa,Francictus,25,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/03jEUl79_ply_49.png,4,d7f6,Nf6,True,37.06,0.423,2,d8f6,Qf6,33.0,0.4304,1,d7f6,Nf6,37.06,4.06,False,True,True
03jEUl79_ply_50,03jEUl79,50,26,white,1988,rrsa,Francictus,38,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/03jEUl79_ply_50.png,4,a1d1,Rad1,True,33.0,0.0521,7,b4b5,b5,33.0,0.0869,4,a1d1,Rad1,33.0,0.0,False,True,False
03jEUl79_ply_51,03jEUl79,51,26,black,2067,rrsa,Francictus,51,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/03jEUl79_ply_51.png,3,d8b6,Qb6,True,46.29,0.29,1,d8b6,Qb6,46.29,0.29,1,d8b6,Qb6,46.29,0.0,True,True,False
03jEUl79_ply_52,03jEUl79,52,27,white,1988,rrsa,Francictus,12,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/03jEUl79_ply_52.png,3,a2a3,a3,True,33.0,0.5578,1,a2a3,a3,33.0,0.5578,1,a2a3,a3,33.0,0.0,True,True,False
03jEUl79_ply_53,03jEUl79,53,27,black,2067,rrsa,Francictus,13,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/03jEUl79_ply_53.png,4,e8e3,Re3,True,33.0,0.5982,1,f6e4,Ne4,39.6,0.0801,3,f6g4,Ng4,42.76,-6.6,False,False,False
03jEUl79_ply_55,03jEUl79,55,28,black,2067,rrsa,Francictus,13,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/03jEUl79_ply_55.png,4,c8e8,Rce8,True,80.13,0.7713,1,b6d8,Qd8,48.79,0.032,4,c8e8,Rce8,80.13,31.34,False,True,True
03jEUl79_ply_56,03jEUl79,56,29,white,1988,rrsa,Francictus,31,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/03jEUl79_ply_56.png,4,d1d3,Rd3,True,33.0,0.0362,7,g2g4,g4,33.0,0.0818,5,d1d3,Rd3,33.0,0.0,False,True,False
03jEUl79_ply_57,03jEUl79,57,29,black,2067,rrsa,Francictus,12,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/03jEUl79_ply_57.png,4,e3d3,Rxd3,True,88.43,0.354,2,e3e1,Re1,46.88,0.5527,1,e3d3,Rxd3,88.43,41.55,False,True,True
03jEUl79_ply_58,03jEUl79,58,30,white,1988,rrsa,Francictus,12,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/03jEUl79_ply_58.png,1,f5d3,Qxd3,True,33.0,0.9993,1,f5d3,Qxd3,33.0,0.9993,1,f5d3,Qxd3,33.0,0.0,True,True,False
03jEUl79_ply_59,03jEUl79,59,30,black,2067,rrsa,Francictus,32,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/03jEUl79_ply_59.png,4,e8e3,Re3,True,33.0,0.1954,3,f6e4,Ne4,49.5,0.0428,6,f6e4,Ne4,49.5,-16.5,False,False,False
119kM9Xj_ply_18,119kM9Xj,18,10,white,1288,themoreudontknow,pvalen,39,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/119kM9Xj_ply_18.png,2,f7c4,Bc4,True,35.69,0.2893,2,f7b3,Bb3,56.25,0.4159,1,f7b3,Bb3,56.25,-20.56,False,False,False
